,Amount.Requested,Amount.Funded.By.Investors,Loan.Length,Loan.Purpose,Modified.Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Modified.Employment.Length,Modified.Interest.Rate,Label
598,29000,27884.92,60 months,debt_consolidation,0.039,NH,MORTGAGE,15000.0,747.0,12,55964,0.0,12.0,0.1065,Lower Interest Rate
599,11000,2116.76,36 months,debt_consolidation,0.20929999999999999,NY,OWN,4167.0,672.0,14,17436,0.0,2.0,0.1387,Normal Interest Rate
600,16000,16000,36 months,debt_consolidation,0.19,CA,MORTGAGE,7666.67,697.0,16,43692,1.0,12.0,0.1531,Higher Interest Rate
601,12000,12000,60 months,small_business,0.1412,GA,MORTGAGE,6666.67,732.0,10,6969,1.0,4.0,0.0962,Lower Interest Rate
603,24625,917.28,36 months,credit_card,0.1281,NY,MORTGAGE,10000.0,677.0,14,33698,0.0,8.0,0.1407,Normal Interest Rate
604,16500,16350,36 months,debt_consolidation,0.1744,TX,RENT,4810.08,727.0,7,24351,1.0,3.0,0.1183,Normal Interest Rate
605,13800,13800,36 months,debt_consolidation,0.1711,CA,RENT,4250.0,697.0,8,11366,0.0,0.5,0.12119999999999999,Normal Interest Rate
606,35000,35000,36 months,debt_consolidation,0.15,NJ,RENT,6666.67,682.0,22,33472,0.0,12.0,0.1531,Higher Interest Rate
607,4000,4000,60 months,vacation,0.1371,GA,MORTGAGE,4500.0,672.0,5,20804,0.0,3.0,0.16820000000000002,Higher Interest Rate
608,20950,20875,60 months,debt_consolidation,0.2756,NY,MORTGAGE,4500.0,677.0,15,24210,1.0,6.0,0.21489999999999998,Higher Interest Rate
609,18500,3100,36 months,credit_card,0.0524,NY,RENT,7500.0,662.0,8,22379,0.0,1.0,0.1533,Higher Interest Rate
610,5000,5000,36 months,debt_consolidation,0.1841,CA,RENT,5208.33,697.0,9,18055,1.0,9.0,0.1427,Normal Interest Rate
611,25000,23995.24,36 months,debt_consolidation,0.12210000000000001,VA,RENT,11166.67,752.0,6,28556,0.0,7.0,0.10619999999999999,Lower Interest Rate
612,22400,22400,36 months,debt_consolidation,0.16079999999999997,PA,RENT,7375.0,692.0,8,9673,0.0,12.0,0.1311,Normal Interest Rate
613,10000,10000,36 months,debt_consolidation,0.2501,NV,RENT,4666.67,672.0,9,19479,0.0,12.0,0.1433,Normal Interest Rate
614,4900,4900,36 months,home_improvement,0.0664,VA,MORTGAGE,2666.67,772.0,5,3455,1.0,4.0,0.0599,Lower Interest Rate
615,18000,18000,60 months,debt_consolidation,0.1916,VA,MORTGAGE,7583.33,732.0,14,26622,0.0,3.0,0.12119999999999999,Normal Interest Rate
616,35000,35000,60 months,debt_consolidation,0.12789999999999999,OK,MORTGAGE,12083.33,732.0,15,18385,0.0,0.5,0.1242,Normal Interest Rate
617,12000,12000,36 months,debt_consolidation,0.1941,TX,MORTGAGE,8750.0,712.0,10,32028,1.0,4.0,0.12119999999999999,Normal Interest Rate
618,12000,11975,60 months,credit_card,0.1841,CA,MORTGAGE,4666.67,702.0,14,13616,0.0,8.0,0.1398,Normal Interest Rate
619,14000,14000,36 months,debt_consolidation,0.2018,TX,RENT,4583.33,752.0,15,15890,1.0,12.0,0.0662,Lower Interest Rate
620,4000,4000,60 months,major_purchase,0.1326,FL,OWN,3500.0,697.0,5,8518,1.0,3.0,0.138,Normal Interest Rate
621,5600,5600,36 months,credit_card,0.2796,NC,MORTGAGE,11666.67,667.0,18,194205,0.0,12.0,0.1114,Lower Interest Rate
622,12300,12300,36 months,debt_consolidation,0.19260000000000002,OH,MORTGAGE,5000.0,712.0,13,4460,2.0,12.0,0.1531,Higher Interest Rate
623,35000,33645.15,60 months,debt_consolidation,0.0601,NY,MORTGAGE,16133.33,727.0,11,32222,0.0,2.0,0.17489999999999997,Higher Interest Rate
624,20000,20000,60 months,debt_consolidation,0.2327,WA,MORTGAGE,9166.67,737.0,24,53494,2.0,12.0,0.1114,Lower Interest Rate
625,8800,8800,60 months,major_purchase,0.0288,AZ,MORTGAGE,2500.0,742.0,3,607,0.0,2.0,0.1311,Normal Interest Rate
626,16000,16000,36 months,debt_consolidation,0.1971,CO,RENT,7083.33,722.0,11,6185,1.0,4.0,0.08900000000000001,Lower Interest Rate
627,8000,8000,36 months,small_business,0.0812,CT,RENT,2500.0,677.0,5,7327,2.0,0.5,0.2052,Higher Interest Rate
628,4000,4000,36 months,other,0.15130000000000002,FL,MORTGAGE,6583.33,772.0,6,63294,0.0,12.0,0.0603,Lower Interest Rate
629,3500,3500,36 months,other,0.1782,CA,MORTGAGE,5416.67,697.0,15,4067,3.0,0.5,0.12119999999999999,Normal Interest Rate
630,7800,7800,36 months,credit_card,0.15560000000000002,FL,MORTGAGE,5000.0,682.0,8,12889,0.0,5.0,0.1311,Normal Interest Rate
631,4200,4200,36 months,other,0.1252,TX,OWN,5000.0,712.0,8,9234,1.0,4.0,0.1367,Normal Interest Rate
632,25000,15800,60 months,debt_consolidation,0.2023,PA,MORTGAGE,5416.67,722.0,13,21168,2.0,12.0,0.1398,Normal Interest Rate
633,24925,24925,60 months,debt_consolidation,0.248,IN,MORTGAGE,6250.0,737.0,20,19245,0.0,4.0,0.1114,Lower Interest Rate
634,9600,9575,60 months,credit_card,0.129,NY,RENT,3333.33,697.0,7,13648,1.0,12.0,0.1727,Higher Interest Rate
635,15000,15000,36 months,credit_card,0.1492,MA,RENT,6294.25,682.0,11,20270,1.0,3.0,0.1649,Higher Interest Rate
637,8800,8800,60 months,debt_consolidation,0.1389,KY,RENT,2916.67,687.0,5,7794,2.0,2.0,0.1825,Higher Interest Rate
638,12500,12500,60 months,debt_consolidation,0.1387,PA,RENT,5300.0,697.0,7,11439,3.0,5.0,0.15960000000000002,Higher Interest Rate
639,21000,21000,36 months,debt_consolidation,0.0684,IL,MORTGAGE,5333.33,777.0,7,19178,0.0,7.0,0.0762,Lower Interest Rate
640,35000,35000,36 months,debt_consolidation,0.08960000000000001,MD,MORTGAGE,18750.0,737.0,13,18528,3.0,6.0,0.1065,Lower Interest Rate
641,15000,15000,36 months,small_business,0.0785,NJ,RENT,15416.67,682.0,17,8962,1.0,6.0,0.1527,Higher Interest Rate
642,9250,6475,60 months,small_business,0.0341,CA,MORTGAGE,8500.0,757.0,6,105060,0.0,4.0,0.1075,Lower Interest Rate
643,2250,2250,36 months,car,0.1797,GA,OWN,5833.33,682.0,12,14637,0.0,2.0,0.1036,Lower Interest Rate
644,15000,14975,60 months,debt_consolidation,0.179,PA,MORTGAGE,2748.0,722.0,14,7956,1.0,6.0,0.1527,Higher Interest Rate
646,3500,3500,36 months,home_improvement,0.1441,GA,MORTGAGE,6833.33,662.0,7,11526,3.0,8.0,0.1562,Higher Interest Rate
647,5300,5300,36 months,debt_consolidation,0.0967,TX,RENT,1945.0,762.0,3,5360,0.0,8.0,0.079,Lower Interest Rate
648,12725,12725,36 months,debt_consolidation,0.22149999999999997,TX,RENT,4416.67,722.0,23,4079,0.0,3.0,0.1114,Lower Interest Rate
649,2500,2450,36 months,educational,0.0378,MD,MORTGAGE,1930.75,677.0,4,1548,3.0,2.0,0.1261,Normal Interest Rate
650,8000,7850,36 months,house,0.0024,KS,RENT,4250.0,792.0,4,132,3.0,5.0,0.09630000000000001,Lower Interest Rate
651,14775,14775,60 months,debt_consolidation,0.2759,CT,MORTGAGE,4473.33,677.0,10,33869,3.0,12.0,0.21,Higher Interest Rate
652,2200,2200,36 months,major_purchase,0.0816,WA,MORTGAGE,5500.0,772.0,8,2927,0.0,3.0,0.079,Lower Interest Rate
653,20000,19875,36 months,debt_consolidation,0.1568,TX,MORTGAGE,9160.0,712.0,9,32392,1.0,12.0,0.1335,Normal Interest Rate
654,3000,2950,36 months,debt_consolidation,0.0425,SC,OWN,1200.0,707.0,4,1643,0.0,0.5,0.12689999999999999,Normal Interest Rate
655,12000,12000,36 months,debt_consolidation,0.1516,KY,RENT,4458.33,662.0,8,13935,1.0,4.0,0.1999,Higher Interest Rate
656,33600,33600,60 months,debt_consolidation,0.1508,NY,RENT,5416.67,732.0,5,20514,1.0,8.0,0.1727,Higher Interest Rate
657,31825,31825,60 months,major_purchase,0.0437,CA,MORTGAGE,6666.67,752.0,4,10864,0.0,4.0,0.1409,Normal Interest Rate
658,4000,4000,36 months,debt_consolidation,0.2586,OH,MORTGAGE,3333.33,677.0,12,19443,1.0,9.0,0.1433,Normal Interest Rate
659,20000,19900,36 months,wedding,0.11349999999999999,NY,RENT,7083.33,752.0,14,18196,0.0,3.0,0.1025,Lower Interest Rate
660,12500,12425,36 months,home_improvement,0.11710000000000001,TX,MORTGAGE,4166.67,782.0,7,1052,0.0,2.0,0.0932,Lower Interest Rate
661,9750,9750,36 months,debt_consolidation,0.2193,FL,RENT,2817.5,672.0,12,6324,1.0,1.0,0.1727,Higher Interest Rate
662,30000,30000,60 months,credit_card,0.1699,MN,MORTGAGE,8500.0,697.0,10,33770,0.0,6.0,0.1531,Higher Interest Rate
663,19600,19600,60 months,debt_consolidation,0.2299,AZ,RENT,4166.67,747.0,9,14783,2.0,0.5,0.1242,Normal Interest Rate
664,24175,24175,36 months,home_improvement,0.0766,GA,RENT,6250.0,712.0,8,4681,1.0,12.0,0.1311,Normal Interest Rate
665,10800,10700,36 months,major_purchase,0.1532,FL,MORTGAGE,8400.0,717.0,6,24675,0.0,12.0,0.1075,Lower Interest Rate
666,10000,10000,36 months,debt_consolidation,0.1381,IL,MORTGAGE,6083.33,672.0,13,19263,1.0,8.0,0.12119999999999999,Normal Interest Rate
667,12000,11975,36 months,debt_consolidation,0.1705,CA,RENT,2000.0,677.0,6,7552,0.0,12.0,0.1367,Normal Interest Rate
668,20000,20000,36 months,debt_consolidation,0.191,FL,RENT,6000.0,667.0,7,21202,2.0,12.0,0.21489999999999998,Higher Interest Rate
669,9000,5242.75,36 months,debt_consolidation,0.0676,NY,RENT,3875.0,672.0,7,7589,0.0,12.0,0.1379,Normal Interest Rate
670,5000,5000,36 months,debt_consolidation,0.10800000000000001,NY,RENT,2500.0,702.0,7,2050,4.0,0.5,0.1392,Normal Interest Rate
671,12000,12000,36 months,credit_card,0.18780000000000002,NJ,RENT,3195.0,697.0,11,14469,0.0,9.0,0.11710000000000001,Normal Interest Rate
672,16750,16750,36 months,credit_card,0.1816,CA,OWN,9125.0,712.0,19,33986,1.0,2.0,0.079,Lower Interest Rate
673,29000,29000,36 months,debt_consolidation,0.1925,NY,MORTGAGE,9166.67,767.0,18,75212,1.0,0.5,0.079,Lower Interest Rate
674,24375,24375,36 months,credit_card,0.2636,MT,MORTGAGE,4583.33,712.0,11,27379,3.0,4.0,0.1409,Normal Interest Rate
675,10000,9700,36 months,debt_consolidation,0.1377,OK,MORTGAGE,4190.0,737.0,6,1251,1.0,0.5,0.09630000000000001,Lower Interest Rate
676,35000,35000,36 months,medical,0.122,MA,MORTGAGE,14166.67,722.0,7,103354,0.0,8.0,0.1465,Higher Interest Rate
678,7500,7400,36 months,debt_consolidation,0.07719999999999999,NJ,OWN,10000.0,777.0,14,5195,1.0,3.0,0.0774,Lower Interest Rate
679,10000,10000,36 months,debt_consolidation,0.16,KY,MORTGAGE,8333.33,782.0,11,14832,0.0,12.0,0.0603,Lower Interest Rate
680,20000,20000,36 months,debt_consolidation,0.1374,VA,MORTGAGE,7965.0,667.0,18,18809,1.0,7.0,0.1972,Higher Interest Rate
681,27000,27000,36 months,home_improvement,0.2232,SC,MORTGAGE,8583.33,692.0,9,6658,1.0,8.0,0.1825,Higher Interest Rate
682,28200,28200,60 months,debt_consolidation,0.156,NY,MORTGAGE,4833.33,697.0,18,27158,0.0,9.0,0.205,Higher Interest Rate
683,3000,3000,36 months,credit_card,0.213,MO,OWN,2333.33,712.0,10,3168,1.0,1.0,0.0999,Lower Interest Rate
684,13000,13000,36 months,debt_consolidation,0.17989999999999998,PA,MORTGAGE,7916.67,697.0,14,10723,3.0,8.0,0.1409,Normal Interest Rate
685,17000,16650,36 months,debt_consolidation,0.158,GA,MORTGAGE,5292.0,717.0,9,21441,1.0,12.0,0.12179999999999999,Normal Interest Rate
686,6700,6700,36 months,credit_card,0.22190000000000001,KS,RENT,2708.33,707.0,10,6627,0.0,2.0,0.079,Lower Interest Rate
687,25450,25450,60 months,credit_card,0.3375,FL,OWN,4750.0,667.0,20,14435,1.0,12.0,0.1972,Higher Interest Rate
688,4000,3975,36 months,house,0.047599999999999996,PA,RENT,1700.0,672.0,4,2381,5.0,0.5,0.1496,Higher Interest Rate
689,9000,9000,60 months,other,0.1477,AZ,RENT,3500.0,757.0,5,3135,0.0,2.0,0.1016,Lower Interest Rate
690,12800,12800,60 months,home_improvement,0.2004,NC,MORTGAGE,3333.33,722.0,13,24723,0.0,5.0,0.1149,Normal Interest Rate
691,16000,15975,60 months,debt_consolidation,0.1226,MO,MORTGAGE,2666.67,707.0,12,18008,1.0,0.5,0.17579999999999998,Higher Interest Rate
692,14675,14675,36 months,debt_consolidation,0.1495,NY,MORTGAGE,4000.0,717.0,6,12764,0.0,7.0,0.08900000000000001,Lower Interest Rate
693,7000,7000,36 months,major_purchase,0.0726,PA,OWN,6280.0,752.0,14,353,0.0,4.0,0.07490000000000001,Lower Interest Rate
694,12000,11875,36 months,debt_consolidation,0.1331,NY,MORTGAGE,5416.67,742.0,8,9993,2.0,3.0,0.0766,Lower Interest Rate
695,12000,11530.58,60 months,credit_card,0.2018,WA,MORTGAGE,4166.67,702.0,10,18559,1.0,7.0,0.1523,Higher Interest Rate
696,7550,7550,36 months,wedding,0.1461,AZ,MORTGAGE,2512.0,732.0,7,2814,0.0,5.0,0.0762,Lower Interest Rate
697,1000,1000,36 months,debt_consolidation,0.0559,MD,MORTGAGE,9333.33,787.0,6,350,4.0,2.0,0.0762,Lower Interest Rate
698,12300,12300,36 months,debt_consolidation,0.1001,CA,RENT,6583.33,692.0,15,12450,0.0,1.0,0.12119999999999999,Normal Interest Rate
699,2000,2000,36 months,moving,0.10289999999999999,FL,RENT,3575.0,672.0,10,12036,0.0,6.0,0.1972,Higher Interest Rate
700,10000,10000,36 months,small_business,0.1884,AL,MORTGAGE,3333.33,692.0,9,14247,1.0,7.0,0.1349,Normal Interest Rate
701,20000,20000,60 months,credit_card,0.2589,CA,RENT,4166.67,692.0,23,34720,0.0,5.0,0.158,Higher Interest Rate
702,10500,10500,36 months,credit_card,0.1233,PA,MORTGAGE,4583.33,667.0,9,18936,1.0,5.0,0.1777,Higher Interest Rate
703,14825,14825,36 months,small_business,0.0955,CA,RENT,2500.0,697.0,8,8073,1.0,2.0,0.1367,Normal Interest Rate
704,9000,9000,36 months,debt_consolidation,0.13849999999999998,MA,RENT,4166.67,767.0,5,7853,0.0,1.0,0.0662,Lower Interest Rate
705,35000,34950,60 months,home_improvement,0.23989999999999997,WV,MORTGAGE,7083.33,787.0,19,30725,1.0,12.0,0.1268,Normal Interest Rate
706,6000,6000,60 months,medical,0.2429,CA,RENT,2400.0,697.0,11,6069,4.0,9.0,0.1398,Normal Interest Rate
707,18000,18000,36 months,debt_consolidation,0.15560000000000002,NM,MORTGAGE,6666.67,692.0,10,21174,0.0,12.0,0.1531,Higher Interest Rate
708,12000,12000,36 months,credit_card,0.1246,MD,RENT,5000.0,727.0,5,13940,0.0,12.0,0.08900000000000001,Lower Interest Rate
709,16000,16000,36 months,credit_card,0.12300000000000001,CA,MORTGAGE,8416.67,697.0,14,21913,1.0,5.0,0.079,Lower Interest Rate
710,32000,32000,60 months,debt_consolidation,0.1561,IL,RENT,9250.0,702.0,15,32566,1.0,2.0,0.1727,Higher Interest Rate
711,8000,8000,36 months,wedding,0.0292,CT,MORTGAGE,4250.0,672.0,5,4454,2.0,12.0,0.1629,Higher Interest Rate
712,28000,28000,36 months,debt_consolidation,0.0298,NY,MORTGAGE,27083.33,732.0,5,12888,1.0,5.0,0.1242,Normal Interest Rate
713,28000,28000,36 months,credit_card,0.1219,CA,RENT,11250.0,732.0,10,40302,1.0,12.0,0.0762,Lower Interest Rate
714,16000,16000,60 months,car,0.11939999999999999,WV,RENT,5250.0,687.0,14,154,1.0,3.0,0.158,Higher Interest Rate
715,20125,20125,36 months,credit_card,0.1108,NY,MORTGAGE,8937.5,677.0,14,12418,0.0,2.0,0.18489999999999998,Higher Interest Rate
716,8000,8000,36 months,debt_consolidation,0.019799999999999998,NY,MORTGAGE,6000.0,672.0,5,5032,2.0,12.0,0.1727,Higher Interest Rate
717,6000,6000,36 months,debt_consolidation,0.1408,IL,MORTGAGE,2500.0,677.0,9,3621,3.0,0.5,0.1435,Normal Interest Rate
718,12000,11975,36 months,credit_card,0.18989999999999999,TX,RENT,4750.0,752.0,13,25577,1.0,4.0,0.0894,Lower Interest Rate
719,5500,5473.88,36 months,other,0.20379999999999998,SC,MORTGAGE,5116.67,667.0,11,14103,0.0,1.0,0.1461,Higher Interest Rate
720,9500,9500,36 months,debt_consolidation,0.24059999999999998,MO,MORTGAGE,2519.17,707.0,7,8673,1.0,12.0,0.12119999999999999,Normal Interest Rate
721,12000,12000,36 months,debt_consolidation,0.1192,PA,MORTGAGE,10333.33,692.0,16,8987,0.0,5.0,0.1036,Lower Interest Rate
722,25000,24950,60 months,debt_consolidation,0.1997,CO,OWN,4166.67,747.0,4,17849,0.0,3.0,0.1349,Normal Interest Rate
723,17500,17500,36 months,credit_card,0.2364,CA,MORTGAGE,3333.33,702.0,10,21483,0.0,8.0,0.1016,Lower Interest Rate
724,35000,25850,60 months,major_purchase,0.2274,IL,MORTGAGE,10000.0,762.0,13,13651,1.0,12.0,0.1523,Higher Interest Rate
725,14000,14000,36 months,credit_card,0.09369999999999999,DC,RENT,7916.67,682.0,3,13522,0.0,0.5,0.1751,Higher Interest Rate
726,13600,13600,36 months,credit_card,0.2094,WA,MORTGAGE,5416.67,687.0,15,17117,0.0,12.0,0.12119999999999999,Normal Interest Rate
728,6000,6000,36 months,debt_consolidation,0.21,WI,RENT,2176.67,687.0,13,4356,1.0,2.0,0.158,Higher Interest Rate
730,20000,17890.7,60 months,debt_consolidation,0.17489999999999997,CA,MORTGAGE,7916.67,672.0,17,39621,1.0,6.0,0.1991,Higher Interest Rate
731,30000,29975,60 months,debt_consolidation,0.1739,FL,MORTGAGE,7083.33,667.0,21,56145,1.0,12.0,0.23329999999999998,Higher Interest Rate
732,28000,27950,60 months,debt_consolidation,0.1656,TX,MORTGAGE,10166.67,682.0,12,43182,1.0,4.0,0.2198,Higher Interest Rate
733,2000,2000,36 months,debt_consolidation,0.2846,MI,MORTGAGE,3513.33,682.0,18,23635,3.0,12.0,0.1409,Normal Interest Rate
734,4700,4700,36 months,renewable_energy,0.1065,OR,RENT,3416.67,762.0,3,2297,0.0,12.0,0.079,Lower Interest Rate
735,6000,6000,36 months,debt_consolidation,0.07730000000000001,CO,RENT,6250.0,677.0,6,3507,0.0,4.0,0.1398,Normal Interest Rate
736,9000,9000,36 months,debt_consolidation,0.1005,NY,RENT,11666.67,692.0,8,9490,1.0,0.5,0.12119999999999999,Normal Interest Rate
737,20000,14750,36 months,debt_consolidation,0.1516,CO,RENT,9208.0,737.0,10,20965,0.0,3.0,0.0691,Lower Interest Rate
738,4200,4200,36 months,major_purchase,0.1382,NJ,MORTGAGE,6500.0,682.0,14,23653,1.0,12.0,0.1306,Normal Interest Rate
739,6950,6875,36 months,other,0.1251,TX,MORTGAGE,7916.67,717.0,5,1593,4.0,12.0,0.1311,Normal Interest Rate
740,15000,15000,36 months,debt_consolidation,0.2245,NV,MORTGAGE,5078.75,667.0,19,13205,0.0,12.0,0.1825,Higher Interest Rate
741,12000,11975,36 months,debt_consolidation,0.1084,NJ,RENT,7083.33,687.0,11,20601,0.0,4.0,0.12119999999999999,Normal Interest Rate
742,25000,25000,36 months,debt_consolidation,0.1818,MA,RENT,6000.0,697.0,9,10630,2.0,7.0,0.1649,Higher Interest Rate
743,7000,7000,36 months,debt_consolidation,0.1153,FL,MORTGAGE,3166.67,677.0,11,6658,2.0,3.0,0.158,Higher Interest Rate
744,5600,5600,36 months,debt_consolidation,0.1654,FL,RENT,1916.67,707.0,8,3373,0.0,5.0,0.079,Lower Interest Rate
745,4800,544.89,36 months,credit_card,0.1319,MD,MORTGAGE,7083.33,682.0,21,44198,0.0,12.0,0.1159,Normal Interest Rate
746,5000,5000,36 months,debt_consolidation,0.21489999999999998,FL,RENT,3108.33,707.0,8,0,0.0,2.0,0.1253,Normal Interest Rate
747,6525,6500,36 months,other,0.1011,MD,RENT,3166.67,702.0,3,2494,1.0,1.0,0.1607,Higher Interest Rate
748,12700,12700,60 months,home_improvement,0.19469999999999998,PA,MORTGAGE,5833.33,777.0,12,14787,0.0,12.0,0.079,Lower Interest Rate
749,14000,13975,60 months,vacation,0.102,GA,RENT,3145.83,717.0,8,3449,0.0,0.5,0.1398,Normal Interest Rate
750,10000,10000,36 months,debt_consolidation,0.20149999999999998,NH,RENT,6083.33,702.0,3,924,0.0,0.5,0.11109999999999999,Lower Interest Rate
751,11500,11475,36 months,credit_card,0.2416,FL,MORTGAGE,2458.33,697.0,9,21668,0.0,12.0,0.12119999999999999,Normal Interest Rate
752,15000,15000,36 months,debt_consolidation,0.0729,MD,RENT,7916.67,677.0,5,5355,1.0,6.0,0.1677,Higher Interest Rate
753,12000,10325,60 months,debt_consolidation,0.0679,CA,RENT,4166.67,722.0,11,5934,0.0,4.0,0.1199,Normal Interest Rate
754,2700,2700,36 months,debt_consolidation,0.1981,OH,MORTGAGE,3958.33,752.0,14,13159,1.0,8.0,0.0579,Lower Interest Rate
755,12000,12000,36 months,debt_consolidation,0.2801,NY,RENT,2916.67,712.0,8,6913,0.0,3.0,0.1016,Lower Interest Rate
756,10625,10625,36 months,debt_consolidation,0.12539999999999998,CA,MORTGAGE,4250.0,667.0,14,10767,0.0,0.5,0.1427,Normal Interest Rate
757,13000,13000,36 months,debt_consolidation,0.3264,PA,MORTGAGE,5000.0,677.0,8,15208,0.0,12.0,0.1409,Normal Interest Rate
758,6000,6000,36 months,credit_card,0.23379999999999998,VA,MORTGAGE,5000.0,707.0,15,46125,1.0,2.0,0.10619999999999999,Lower Interest Rate
759,15000,15000,36 months,debt_consolidation,0.1466,MA,RENT,5150.0,732.0,9,5116,2.0,2.0,0.1059,Lower Interest Rate
760,8000,7925,36 months,debt_consolidation,0.18719999999999998,CA,RENT,2083.33,697.0,4,20802,0.0,12.0,0.17489999999999997,Higher Interest Rate
761,8800,8800,36 months,credit_card,0.1673,WI,RENT,3150.25,702.0,13,14266,1.0,4.0,0.1311,Normal Interest Rate
762,11100,11100,36 months,debt_consolidation,0.12029999999999999,WA,MORTGAGE,2666.67,682.0,12,8990,0.0,12.0,0.1531,Higher Interest Rate
763,5000,525,36 months,home_improvement,0.1193,WI,MORTGAGE,15000.0,717.0,16,60568,1.0,2.0,0.0933,Lower Interest Rate
764,15250,13914.17,60 months,debt_consolidation,0.2057,FL,RENT,2916.67,692.0,10,17931,0.0,0.5,0.1649,Higher Interest Rate
765,10000,10000,36 months,home_improvement,0.3146,NY,MORTGAGE,5000.0,697.0,16,18921,0.0,6.0,0.12119999999999999,Normal Interest Rate
766,6000,6000,36 months,major_purchase,0.1499,IL,RENT,4416.67,722.0,10,2928,0.0,2.0,0.079,Lower Interest Rate
767,3500,3500,36 months,debt_consolidation,0.10869999999999999,TX,MORTGAGE,4333.33,677.0,9,9971,0.0,12.0,0.12119999999999999,Normal Interest Rate
768,17400,17400,36 months,credit_card,0.1247,AZ,RENT,6833.33,697.0,7,26587,0.0,7.0,0.1199,Normal Interest Rate
769,7500,7500,60 months,other,0.1496,IL,MORTGAGE,7083.33,782.0,11,16449,1.0,12.0,0.09759999999999999,Lower Interest Rate
770,18000,17950,60 months,debt_consolidation,0.1398,KS,MORTGAGE,12916.67,687.0,11,14890,2.0,12.0,0.1433,Normal Interest Rate
771,21700,21700,36 months,debt_consolidation,0.054299999999999994,CA,MORTGAGE,15000.0,782.0,5,128707,0.0,2.0,0.079,Lower Interest Rate
772,1775,1775,36 months,debt_consolidation,0.1977,OH,RENT,3333.33,727.0,11,2038,0.0,0.5,0.0654,Lower Interest Rate
773,20000,19896.51,36 months,debt_consolidation,0.1534,FL,RENT,5166.67,712.0,8,12394,1.0,6.0,0.1367,Normal Interest Rate
775,4825,4825,36 months,debt_consolidation,0.1489,UT,RENT,2400.0,707.0,14,6109,1.0,1.0,0.1016,Lower Interest Rate
776,5000,5000,36 months,other,0.0611,TX,MORTGAGE,5416.67,797.0,13,4956,0.0,8.0,0.0603,Lower Interest Rate
777,35000,35000,36 months,debt_consolidation,0.19920000000000002,FL,MORTGAGE,14166.67,662.0,12,216561,1.0,12.0,0.1629,Higher Interest Rate
778,4750,4750,36 months,home_improvement,0.005600000000000001,PA,OWN,2833.33,762.0,2,767,0.0,9.0,0.08900000000000001,Lower Interest Rate
779,7125,7125,36 months,debt_consolidation,0.1118,CT,MORTGAGE,5636.75,677.0,14,5383,2.0,8.0,0.18489999999999998,Higher Interest Rate
780,4000,3975,36 months,small_business,0.076,PA,RENT,1750.0,672.0,7,7178,3.0,0.5,0.1343,Normal Interest Rate
781,11000,11000,36 months,other,0.2242,NC,MORTGAGE,7916.67,692.0,9,34314,1.0,0.5,0.1306,Normal Interest Rate
782,8000,8000,36 months,debt_consolidation,0.1474,CA,RENT,3108.0,692.0,3,3072,0.0,8.0,0.1433,Normal Interest Rate
783,5000,4900,36 months,major_purchase,0.028399999999999998,FL,RENT,3200.0,712.0,6,2650,2.0,3.0,0.1114,Lower Interest Rate
784,7200,6250,36 months,debt_consolidation,0.17,MA,MORTGAGE,5100.0,762.0,4,9366,4.0,12.0,0.08070000000000001,Lower Interest Rate
785,5000,5000,36 months,wedding,0.10279999999999999,CA,RENT,1916.67,662.0,8,5982,0.0,5.0,0.1531,Higher Interest Rate
786,4500,4500,36 months,moving,0.139,CA,MORTGAGE,3000.0,767.0,10,387,0.0,0.5,0.0751,Lower Interest Rate
787,17300,17250,60 months,wedding,0.0358,PA,MORTGAGE,5500.0,687.0,11,2306,3.0,4.0,0.2245,Higher Interest Rate
788,1000,750,36 months,renewable_energy,0.0,GA,MORTGAGE,1800.0,732.0,2,0,1.0,0.5,0.1036,Lower Interest Rate
789,13075,13075,60 months,debt_consolidation,0.22519999999999998,OH,MORTGAGE,7291.67,717.0,14,27622,0.0,12.0,0.1199,Normal Interest Rate
790,20000,20000,36 months,credit_card,0.1359,CA,RENT,7258.33,732.0,5,14268,0.0,9.0,0.079,Lower Interest Rate
791,18000,18000,36 months,credit_card,0.2234,MA,RENT,4583.33,702.0,13,17868,0.0,12.0,0.12119999999999999,Normal Interest Rate
792,13500,13500,60 months,debt_consolidation,0.1259,OR,MORTGAGE,8833.33,702.0,11,18978,0.0,2.0,0.1399,Normal Interest Rate
793,14000,14000,36 months,debt_consolidation,0.1493,CA,MORTGAGE,10583.33,687.0,9,35457,0.0,2.0,0.12119999999999999,Normal Interest Rate
794,25000,24975,60 months,debt_consolidation,0.0959,OH,RENT,5077.58,692.0,6,17946,0.0,12.0,0.205,Higher Interest Rate
795,10000,10000,36 months,credit_card,0.18989999999999999,FL,MORTGAGE,5583.33,677.0,16,12723,1.0,2.0,0.1531,Higher Interest Rate
796,4750,4750,60 months,debt_consolidation,0.2348,SC,RENT,1500.0,742.0,11,1687,3.0,0.5,0.1433,Normal Interest Rate
797,10000,9999.71,60 months,other,0.17800000000000002,IL,RENT,2500.0,722.0,8,3822,2.0,8.0,0.1349,Normal Interest Rate
798,14000,14000,60 months,debt_consolidation,0.1352,CA,MORTGAGE,3616.0,672.0,9,13923,0.0,2.0,0.19030000000000002,Higher Interest Rate
